LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Total Kjeldahl Nitrogen,0,0.256,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Field Specific Conductance,0, 226,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Field Water Temperature,0, 21.9,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Calcium,7440702,13,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Chloride,16887006,13.4,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Chlorophyll a,479618,0.8,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Organic Carbon,7440440,2.2,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Total Organic Carbon,7440440,2.2,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Organic Nitrogen,7727379,0.24,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved ortho-Phosphate,14265442,0.072,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Pheophytin a,0,0.73,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Total Phosphorus,7723140,0.07,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Dissolved Silica (SiO2),7631869,15.4,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Total Dissolved Solids,0,123,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Total Suspended Solids,0,5.8,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Total Suspended Solids,0,6,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Duplicate
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0213,09/28/2021 10:20,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
